Covered_Recipient_Type,Covered_Recipient_Specialty_1,Recipient_State,Nature_of_Payment_or_Transfer_of_Value,Total_Amount_of_Payment_USDollars,Date_of_Payment
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Anesthesiology,NY,Food and Beverage,22.21,08/12/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Emergency Medicine,MI,Food and Beverage,16.42,08/25/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Family Medicine,TX,Food and Beverage,13.95,10/22/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,SC,Education,75.99,09/23/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Internal Medicine,FL,Food and Beverage,1.45,01/31/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,IL,Food and Beverage,12.5,05/19/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Anesthesiology,FL,Food and Beverage,15.02,05/12/2020
Covered Recipient Physician,Dental Providers|Dentist|General Practice,OH,Food and Beverage,134.66,02/21/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Internal Medicine,NC,Food and Beverage,13.99,09/17/2020
Covered Recipient Physician,Dental Providers|Dentist,MI,Food and Beverage,12.12,10/13/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Internal Medicine,IL,Food and Beverage,15.04,12/09/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,OH,Food and Beverage,15.82,03/10/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Endocrinology,CA,Food and Beverage,12.8,03/09/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,CA,Food and Beverage,5.47,07/21/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,CA,Food and Beverage,3.4,06/16/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,IN,Food and Beverage,14.43,03/05/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,VA,Food and Beverage,15.45,11/18/2020
Covered Recipient Physician,Dental Providers|Dentist|General Practice,VA,Food and Beverage,12.93,09/14/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,OH,Travel and Lodging,64.87,02/29/2020
Covered Recipient Physician,Dental Providers|Dentist|General Practice,CA,Food and Beverage,17.1,12/01/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,GA,Food and Beverage,15.25,11/17/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Internal Medicine,WA,Food and Beverage,19.26,09/08/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Endocrinology,CA,Food and Beverage,18.42,09/01/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Family Medicine,CA,Food and Beverage,4.29,11/02/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,MI,Food and Beverage,16.0,10/17/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Internal Medicine,AL,Food and Beverage,12.11,09/08/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Internal Medicine,PA,Food and Beverage,18.88,01/08/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Pediatrics,MI,Food and Beverage,21.4,10/09/2020
Covered Recipient Physician,Allopathic & Osteopathic Physicians|Internal Medicine,NJ,Food and Beverage,14.54,07/06/2020
