Nature_of_Payment_or_Transfer_of_Value,total_payment,median_payment,number_of_payments
Royalty or License,25377193.57,7099.43,533
Consulting Fee,9354045.5,1125.0,3476
"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",6016043.47,393.75,3571
Food and Beverage,2163587.95,16.37,84518
Grant,2090052.22,10616.67,165
Travel and Lodging,1524507.0,176.555,5040
Honoraria,1024629.4400000001,1500.0,379
Education,740627.38,99.0,1693
Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program,349461.04,1725.0,128
Current or prospective ownership or investment interest,315067.88,481.47,157
Compensation for serving as faculty or as a speaker for an accredited or certified continuing education program,238718.8,1000.0,55
Gift,108132.59,49.51,245
Entertainment,2557.2799999999997,32.144999999999996,38
Charitable Contribution,694.36,347.18,2
