Covered_Recipient_Specialty_1,total_payment,median_payment,number_of_payments
Allopathic & Osteopathic Physicians|Orthopaedic Surgery,22651649.86,33.0,14513
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,17293120.46,38.02,4171
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,11745025.69,20.03,7070
Allopathic & Osteopathic Physicians|Plastic Surgery,3467162.97,44.75,1029
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Foot and Ankle Surgery,3293504.98,128.41500000000002,1326
Allopathic & Osteopathic Physicians|Neurological Surgery,2023124.55,26.259999999999998,2186
Allopathic & Osteopathic Physicians|Urology,2004658.87,17.4,13905
Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,1583516.64,24.99,2107
Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,1569097.8,18.06,6736
Dental Providers|Dentist|Orthodontics and Dentofacial Orthopedics,1520323.44,23.345,2142
