Covered_Recipient_Specialty_1,total_payment,median_payment,number_of_payments
Allopathic & Osteopathic Physicians|Orthopaedic Surgery,12332588.24,31.645,7246
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,7051704.88,38.02,2116
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,6376037.42,20.08,3438
Allopathic & Osteopathic Physicians|Plastic Surgery,1904620.2900000003,40.03,504
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Foot and Ankle Surgery,1448463.93,124.82,661
Allopathic & Osteopathic Physicians|Urology,1005255.38,17.38,7001
Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,829579.56,25.16,1085
Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),805478.27,33.635,756
Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,787547.85,18.0,3351
Allopathic & Osteopathic Physicians|Neurological Surgery,730838.95,26.814999999999998,1074
Dental Providers|Dentist|Orthodontics and Dentofacial Orthopedics,722593.39,22.5,1060
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,704014.3,16.74,7048
Allopathic & Osteopathic Physicians|Pediatrics,694230.3099999999,15.844999999999999,808
Allopathic & Osteopathic Physicians|Surgery,672891.4,22.7,2534
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,665127.9,41.89,281
Allopathic & Osteopathic Physicians|Internal Medicine,655483.3099999999,14.93,9131
Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,642375.78,15.63,3005
Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,602883.13,23.13,1603
Dental Providers|Dentist,521856.56,22.32,2629
Allopathic & Osteopathic Physicians|Ophthalmology,505182.9,361.14,226
Dental Providers|Dentist|Oral and Maxillofacial Surgery,482984.3,20.31,839
Podiatric Medicine & Surgery Service Providers|Podiatrist,464726.24,21.63,741
Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,457765.66,19.13,925
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,444554.01,80.18,666
Dental Providers|Dentist|General Practice,409280.98,22.195,3382
Eye and Vision Services Providers|Optometrist,403453.57,64.13,278
Allopathic & Osteopathic Physicians|Anesthesiology,373439.31,17.68,2876
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Trauma,315008.99,135.81,173
Allopathic & Osteopathic Physicians|Family Medicine,313572.84,14.6,9916
Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,306907.47,16.43,1599
Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,266738.85,20.53,435
Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,252370.3,18.92,959
Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,252288.5,36.64,341
