Recipient_State,total_payment,median_payment,number_of_payments
CA,16455324.44,20.54,19915
KS,13132288.67,15.92,1587
NY,8012453.35,18.81,13126
CO,6525361.41,20.055,3016
FL,5720377.63,17.66,19373
IL,4415163.36,18.85,7719
OH,3893988.05,17.005000000000003,7634
TX,3868186.61,17.83,18556
PA,3008809.97,16.76,9368
TN,2526030.15,17.1,4684
AL,2464793.29,15.54,4671
MI,2392989.14,17.91,5921
AZ,2274107.5,17.07,4564
NC,2019979.39,16.3,5978
MN,1813770.6199999999,38.02,1558
KY,1728284.66,16.62,3210
MA,1621342.52,22.92,2390
CT,1230907.74,17.55,2258
MO,1207791.3900000001,17.57,3784
VA,1207754.24,17.53,5106
NJ,1195326.61,14.434999999999999,7780
GA,1180974.42,16.24,7655
OR,1105240.71,22.71,1275
MD,1059269.52,17.64,4394
IN,954119.14,16.0,3918
SC,784278.66,16.0,3138
WA,773668.48,19.52,2343
WV,750955.26,16.945,998
NV,611638.66,18.96,1927
WI,484723.09,22.64,1752
LA,434729.24,16.1,3635
UT,375027.38,15.29,1758
OK,369332.98,16.23,2878
DC,364154.89,29.99,718
HI,318084.03,19.89,925
IA,308629.66,17.814999999999998,946
RI,285932.89,19.0,600
MS,270934.12,16.31,1791
AR,254694.41999999998,15.63,1985
NM,191462.98,21.130000000000003,634
NE,146989.69,16.02,1075
ME,103319.73999999999,30.3,279
ID,81603.59,16.705,634
SD,65041.65,17.3,252
DE,63708.16,16.06,665
PR,58954.54,22.62,484
NH,47466.159999999996,21.67,265
MT,31959.050000000003,20.45,201
VT,28881.02,30.26,103
AE,21107.0,54.0,17
AK,18064.48,19.490000000000002,194
ND,14993.77,16.78,249
WY,3296.94,18.68,99
VI,207.69,14.97,13
AP,86.39,43.195,2
